Pclass,Sex,Age,SibSp,Parch,Fare,Family_Size,Is_Alone,Age_Class,Fare_Per_Person,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Age_Group_Teenager,Age_Group_Young_Adult,Age_Group_Adult,Age_Group_Senior,Fare_Group_Medium,Fare_Group_High,Fare_Group_Very_High
3,1,-0.5574601720312115,1,0,-0.5024451714361923,0.059159876663617626,0,0.06279972384143559,-0.45479780086724353,False,True,False,True,False,False,False,True,False,False,False,False,False
1,0,0.6490906666288329,1,0,0.7868452935884461,0.059159876663617626,0,-0.7874534484183089,0.4389942769104231,False,False,False,False,True,False,False,False,True,False,False,False,True
3,0,-0.25582246236620043,0,0,-0.4888542575852486,-0.5609748304808925,1,0.4271939405241832,-0.3347569491715175,False,True,True,False,False,False,False,True,False,False,True,False,False
1,0,0.42286238438007456,1,0,0.4207302360686478,0.059159876663617626,0,-0.8785520025889957,0.18518743753380743,False,True,False,False,True,False,False,True,False,False,False,False,True
3,1,0.42286238438007456,0,0,-0.4863374216869257,-0.5609748304808925,1,1.2470809280603654,-0.3312673895291999,False,True,False,True,False,False,False,True,False,False,True,False,False
3,1,0.04581524729881069,0,0,-0.47811642890864375,-0.5609748304808925,1,0.7915881572069308,-0.31986909191353363,True,False,False,True,False,False,False,True,False,False,True,False,False
1,1,1.8556415052888773,0,0,0.395813560675251,-0.5609748304808925,1,-0.301594492841312,0.8918232651031247,False,True,False,True,False,False,False,False,True,False,False,False,True
3,1,-2.065648720356267,3,1,-0.22408312108167944,1.9195639980971482,0,-1.7591713595723024,-0.43832707935550436,False,True,False,False,False,False,False,False,False,False,False,True,False
3,0,-0.18041303494994762,0,2,-0.4242561406845337,0.6792945838081278,0,0.5182924946948702,-0.4523941921856151,False,True,False,False,True,False,False,True,False,False,True,False,False
2,0,-1.1607355913612336,1,0,-0.04295550208861426,0.059159876663617626,0,-1.0911152956539318,-0.13625963012563605,False,False,False,False,True,False,True,False,False,False,False,True,False
3,0,-1.9148298655237614,1,1,-0.312172377522981,0.6792945838081278,0,-1.5769742512309286,-0.40059330775657653,False,True,True,False,False,False,False,False,False,False,False,True,False
1,0,2.1572792149538884,0,0,-0.11384570873513637,-0.5609748304808925,1,-0.18012975394706282,0.18518743753380743,False,True,True,False,False,False,False,False,True,False,False,True,False
3,1,-0.708279026863717,0,0,-0.4863374216869257,-0.5609748304808925,1,-0.11939738449993822,-0.3312673895291999,False,True,False,True,False,False,False,True,False,False,True,False,False
3,1,0.7245000940450856,1,5,-0.01870931177853076,3.1598334123861687,0,1.6114751447431128,-0.4312681987076162,False,True,False,True,False,False,False,False,True,False,False,False,True
3,0,-1.1607355913612336,0,0,-0.4902797934380587,-0.5609748304808925,1,-0.6659887095240596,-0.33673343575292625,False,True,True,False,False,False,True,False,False,False,False,False,False
2,0,1.93105093270513,0,0,-0.3262666585535892,-0.5609748304808925,1,1.3989118516781769,-0.10933139627779945,False,True,False,False,True,False,False,False,True,False,False,True,False
3,1,-2.065648720356267,4,1,-0.06199888922968463,2.5396987052416584,0,-1.7591713595723024,-0.42048379771778693,True,False,False,False,False,False,False,False,False,False,False,True,False
2,1,0.04581524729881069,0,0,-0.3866707201133388,-0.5609748304808925,1,-0.11939738449993822,-0.19308082769342225,False,True,False,True,False,False,False,True,False,False,True,False,False
3,0,0.12122467471506346,1,0,-0.2859972841804228,0.059159876663617626,0,0.8826867113776177,-0.30474673624758597,False,True,False,False,True,False,False,True,False,False,False,True,False
3,0,0.42286238438007456,0,0,-0.5029485386158568,-0.5609748304808925,1,1.2470809280603654,-0.35429848316849616,False,False,False,False,True,False,False,True,False,False,False,False,False
2,1,0.42286238438007456,0,0,-0.12491978668775715,-0.5609748304808925,1,0.18426446273568478,0.1698333751076099,False,True,False,True,False,False,False,True,False,False,False,True,False
2,1,0.3474529569638218,0,0,-0.3866707201133388,-0.5609748304808925,1,0.12353209328856019,-0.19308082769342225,False,True,False,True,False,False,False,True,False,False,True,False,False
3,0,-1.085326163944981,0,0,-0.4867562231804066,-0.5609748304808925,1,-0.5748901553533727,-0.3318480522536815,True,False,True,False,False,False,True,False,False,False,True,False,False
1,1,-0.10500360753369486,0,0,0.06635974158478332,-0.5609748304808925,1,-1.0911152956539318,0.4350399079237488,False,True,False,True,False,False,False,True,False,False,False,False,True
3,0,-1.6131921558587503,3,1,-0.22408312108167944,1.9195639980971482,0,-1.212580034548181,-0.43832707935550436,False,True,True,False,False,False,False,False,False,False,False,True,False
3,0,0.6490906666288329,1,5,-0.016444159470040135,3.1598334123861687,0,1.520376590572426,-0.4308195410393182,False,True,False,False,True,False,False,False,True,False,False,False,True
3,1,0.04581524729881069,0,0,-0.5029485386158568,-0.5609748304808925,1,0.7915881572069308,-0.35429848316849616,False,False,False,True,False,False,False,True,False,False,False,False,False
